submitted_id	current_id	converted_id	current_symbol
Sfp84E	FBgn0259974	FBgn0259974	Sfp84E
Sfp24C1	FBgn0259956	FBgn0259956	Sfp24C1
Sfp33A2	FBgn0259963	FBgn0259963	Sfp33A2
Sfp24F	FBgn0259958	FBgn0259958	Sfp24F
Sfp53D	FBgn0259967	FBgn0259967	Sfp53D
Sfp77F	FBgn0259972	FBgn0259972	Sfp77F
Sfp33A3	FBgn0259964	FBgn0259964	Sfp33A3
Sfp26Ac	FBgn0259959	FBgn0259959	Sfp26Ac
Sfp87B	FBgn0259975	FBgn0259975	Sfp87B
Sfp24Ba	FBgn0259951	FBgn0259951	Sfp24Ba
Sfp79B	FBgn0259973	FBgn0259973	Sfp79B
Sfp35C	FBgn0259965	FBgn0259965	Sfp35C
Sfp23F	FBgn0259949	FBgn0259949	Sfp23F
Sfp65A	FBgn0259969	FBgn0259969	Sfp65A
Sfp24Bb	FBgn0259952	FBgn0259952	Sfp24Bb
Sfp33A1	FBgn0259962	FBgn0259962	Sfp33A1
Sfp51E	FBgn0259966	FBgn0259966	Sfp51E
Sfp60F	FBgn0259968	FBgn0259968	Sfp60F
Sfp70A4	FBgn0259970	FBgn0259970	Sfp70A4
