"FBgn" "Testis" "AG" "Gut" "Carcass" "OvaryAvg" "HeadAvg" "maxME" "tissuemaxME"
"FBgn0000003" 0 0 0 0 0 0 1 "NoData"
"FBgn0000008" 1 2.58496250072116 1.58496250072116 2.58496250072116 4.04439411935845 3.6724253419715 5 "Ovary"
"FBgn0000014" 2.8073549220576 2.8073549220576 1.58496250072116 2.58496250072116 0 0 1 "Testis"
"FBgn0000015" 0 3 1 1.58496250072116 0 0 2 "AG"
"FBgn0000017" 2 2.32192809488736 2 2 4.28540221886225 3.52356195605701 5 "Ovary"
"FBgn0000018" 2.58496250072116 2.32192809488736 2 1.58496250072116 3 1.70043971814109 5 "Ovary"
"FBgn0000022" 0 0 0 0 0 0 1 "NoData"
"FBgn0000024" 0 2 2.32192809488736 3.16992500144231 0.584962500721156 6.10852445677817 6 "Head"
"FBgn0000028" 3.58496250072116 2.58496250072116 0 1 0 4.14974711950468 6 "Head"
"FBgn0000032" 4.95419631038687 4.70043971814109 3 3 5.64385618977472 2.58496250072116 5 "Ovary"
"FBgn0000036" 0 1 0 1 0 3.4594316186373 6 "Head"
"FBgn0000037" 1 1 0 2 0 5.33985000288462 6 "Head"
"FBgn0000038" 1 2 0 3.58496250072116 0 7.11634396123747 6 "Head"
"FBgn0000039" 0 1 0 1 0 3.49185309632967 6 "Head"
"FBgn0000042" 9.43462822763673 9.47167521439204 11.5999128421871 8.97727992349992 10.6834332928354 9.76983784362944 3 "Gut"
"FBgn0000043" 8.06608919045777 6.58496250072116 6.08746284125034 4.4594316186373 6.94251450533924 4.2667865406949 1 "Testis"
"FBgn0000044" 5.61470984411521 7.86418614465428 8.66177809777199 9.64745842645492 4.6724253419715 8.97584796800678 4 "Carcass"
"FBgn0000045" 2.32192809488736 3.32192809488736 2.8073549220576 9.86727873970966 0 5.8008998999203 4 "Carcass"
"FBgn0000046" 9.51372759595244 8.63299519714296 8.02236781302845 10.129283016945 2.32192809488736 7.87190523765919 4 "Carcass"
"FBgn0000047" 1 1 2.8073549220576 8.60733031374961 0 1.58496250072116 4 "Carcass"
"FBgn0000052" 3.70043971814109 2.8073549220576 2.58496250072116 5.16992500144231 4.61470984411521 4.95419631038687 4 "Carcass"
"FBgn0000053" 2 2.32192809488736 1.58496250072116 3.70043971814109 3.08746284125034 3.58496250072116 4 "Carcass"
"FBgn0000054" 3.4594316186373 4.16992500144231 3.4594316186373 3.32192809488736 5.53915881110803 4.14974711950468 5 "Ovary"
"FBgn0000055" 7.3037807481771 7.57742882803575 9.01122725542325 11.3049216695817 7.87958324961278 11.3672782293597 6 "Head"
"FBgn0000056" 7.39231742277876 7.66533591718518 9.1006623390052 11.3944626946103 7.97154355395077 11.4560976849642 6 "Head"
"FBgn0000057" 6.16992500144231 4.39231742277876 2.58496250072116 3.4594316186373 4.61470984411521 3.35755200461808 1 "Testis"
"FBgn0000061" 0 0 0 0 0 0 1 "NoData"
"FBgn0000063" 3.4594316186373 2.58496250072116 2 2 5.90689059560852 1.4594316186373 5 "Ovary"
"FBgn0000064" 7.49984588708321 7.15987133677839 7.19967234483636 9.56414948998573 6.06608919045777 8.21431912080077 4 "Carcass"
"FBgn0000071" 0 1.58496250072116 0 0 0 0 2 "AG"
"FBgn0000075" 1.58496250072116 0 1 0 1 0.807354922057604 1 "Testis"
"FBgn0000077" 1 2.8073549220576 2.32192809488736 2.58496250072116 3.85798099512757 2.4594316186373 5 "Ovary"
"FBgn0000078" 5.35755200461808 5.12928301694497 10.8509681509824 6.10852445677817 0 3.90689059560852 3 "Gut"
"FBgn0000079" 7.10852445677817 6.82017896241519 12.158294103604 7.84549005094437 0 3.4594316186373 3 "Gut"
"FBgn0000083" 5.28540221886225 5.64385618977472 5.64385618977472 5.78135971352466 4.6724253419715 5.45121111183233 4 "Carcass"
"FBgn0000084" 5.35755200461808 5.75488750216347 3.70043971814109 4.90689059560852 4.39231742277876 5.39231742277876 2 "AG"
"FBgn0000092" 0 0 0 1.58496250072116 0 0 4 "Carcass"
"FBgn0000094" 6.4757334309664 11.0347989625773 3.70043971814109 2 0 0 2 "AG"
"FBgn0000097" 1.58496250072116 2.32192809488736 3.8073549220576 3.16992500144231 4.90689059560852 3.4594316186373 5 "Ovary"
"FBgn0000099" 3.16992500144231 2 1 3.8073549220576 0 4.53915881110803 6 "Head"
"FBgn0000100" 8.54689445988764 9.55842071326866 8.86108690599539 8.54303182025524 8.56224242422107 8.57742882803575 2 "AG"
"FBgn0000108" 0 3.16992500144231 1 4 1 7.60362634498619 6 "Head"
"FBgn0000109" 3.16992500144231 3 3.8073549220576 3.4594316186373 4.16992500144231 3.16992500144231 5 "Ovary"
"FBgn0000114" 6.7279204545632 5.08746284125034 2.8073549220576 3.8073549220576 7.09275714091985 2.90689059560852 5 "Ovary"
"FBgn0000115" 6.62935662007961 7.16992500144231 5.55458885167764 4.85798099512757 6.19967234483636 4.93073733756289 2 "AG"
