"Sample" "Tissue" "Time" "Run"
"BUR_24hr_1_1" "BUR" "24h" 1
"BUR_24hr_1_2" "BUR" "24h" 1
"BUR_24hr_2_3" "BUR" "24h" 2
"BUR_24hr_2_4" "BUR" "24h" 2
"BUR_6hr_1_1" "BUR" "6hr" 1
"BUR_6hr_1_2" "BUR" "6hr" 1
"BUR_6hr_2_3" "BUR" "6hr" 2
"BUR_6hr_2_4" "BUR" "6hr" 2
"BUR_U_1_1" "BUR" "U" 1
"BUR_U_1_2" "BUR" "U" 1
"BUR_U_2_3" "BUR" "U" 2
"BUR_U_2_4" "BUR" "U" 2
"FB_24hr_2_1" "FB" "24h" 2
"FB_24hr_2_2" "FB" "24h" 2
"FB_6hr_1_1" "FB" "6hr" 1
"FB_6hr_2_2" "FB" "6hr" 2
"FB_6hr_2_3" "FB" "6hr" 2
"FB_U_1_1" "FB" "U" 1
"FB_U_1_2" "FB" "U" 1
"FB_U_2_3" "FB" "U" 2
"FB_U_2_4" "FB" "U" 2
"OVD_24hr_1_1" "OVD" "24h" 1
"OVD_24hr_2_2" "OVD" "24h" 2
"OVD_24hr_2_3" "OVD" "24h" 2
"OVD_6hr_2_1" "OVD" "6hr" 2
"OVD_6hr_2_2" "OVD" "6hr" 2
"OVD_U_1_1" "OVD" "U" 1
"OVD_U_2_2" "OVD" "U" 2
"OVD_U_2_3" "OVD" "U" 2
"PO_24hr_1_1" "PO" "24h" 1
"PO_24hr_1_2" "PO" "24h" 1
"PO_24hr_2_3" "PO" "24h" 2
"PO_24hr_2_4" "PO" "24h" 2
"PO_6hr_1_1" "PO" "6hr" 1
"PO_6hr_2_2" "PO" "6hr" 2
"PO_6hr_2_3" "PO" "6hr" 2
"PO_U_1_1" "PO" "U" 1
"PO_U_1_2" "PO" "U" 1
"PO_U_2_3" "PO" "U" 2
"PO_U_2_4" "PO" "U" 2
"SR_24hr_1_1" "SR" "24h" 1
"SR_24hr_2_2" "SR" "24h" 2
"SR_24hr_2_3" "SR" "24h" 2
"SR_6hr_1_1" "SR" "6hr" 1
"SR_6hr_1_2" "SR" "6hr" 1
"SR_6hr_2_3" "SR" "6hr" 2
"SR_6hr_2_4" "SR" "6hr" 2
"SR_U_1_1" "SR" "U" 1
"SR_U_2_2" "SR" "U" 2
"SR_U_2_3" "SR" "U" 2
"ST_24hr_1_1" "ST" "24h" 1
"ST_24hr_1_2" "ST" "24h" 1
"ST_24hr_2_3" "ST" "24h" 2
"ST_24hr_2_4" "ST" "24h" 2
"ST_6hr_1_1" "ST" "6hr" 1
"ST_6hr_1_2" "ST" "6hr" 1
"ST_6hr_2_3" "ST" "6hr" 2
"ST_6hr_2_4" "ST" "6hr" 2
"ST_U_1_1" "ST" "U" 1
"ST_U_1_2" "ST" "U" 1
"ST_U_2_3" "ST" "U" 2
"ST_U_2_4" "ST" "U" 2
"WF_U_2_1" "WF" "U" 2
"WF_U_2_2" "WF" "U" 2
