B0273.4	unc-5	WBGene00006745	Caenorhabditis elegans
C15A11.3	sol-1	WBGene00004944	Caenorhabditis elegans
CG10005	CG10005	FBgn0037972	Drosophila melanogaster
CG10006	Zip71B	FBgn0036461	Drosophila melanogaster
CG10029	CG10029	FBgn0037498	Drosophila melanogaster
CG10031	CG10031	FBgn0031563	Drosophila melanogaster
CG10035	CG10035	FBgn0038028	Drosophila melanogaster
CG10041	CG10041	FBgn0038014	Drosophila melanogaster
CG10079	Egfr	FBgn0003731	Drosophila melanogaster
CG10095	dpr15	FBgn0037993	Drosophila melanogaster
CG10104	CG10104	FBgn0033933	Drosophila melanogaster
CG10112	Cpr51A	FBgn0033942	Drosophila melanogaster
CG10116	CG10116	FBgn0036367	Drosophila melanogaster
CG10129	ndl	FBgn0002926	Drosophila melanogaster
CG10134	beat-Va	FBgn0038087	Drosophila melanogaster
CG10140	CG10140	FBgn0036363	Drosophila melanogaster
CG10142	Ance-5	FBgn0035076	Drosophila melanogaster
CG10145	mspo	FBgn0020269	Drosophila melanogaster
CG10146	AttA	FBgn0012042	Drosophila melanogaster
CG10154	CG10154	FBgn0036361	Drosophila melanogaster
CG10157	GILT2	FBgn0039099	Drosophila melanogaster
CG10163	CG10163	FBgn0035697	Drosophila melanogaster
CG10168	CG10168	FBgn0039087	Drosophila melanogaster
CG10170	CG10170	FBgn0039085	Drosophila melanogaster
CG10175	CG10175	FBgn0039084	Drosophila melanogaster
CG10176	grnd	FBgn0032682	Drosophila melanogaster
CG10182	CG10182	FBgn0039091	Drosophila melanogaster
CG10183	CG10183	FBgn0039093	Drosophila melanogaster
CG10186	Hasp	FBgn0032797	Drosophila melanogaster
CG10188	CG10188	FBgn0032796	Drosophila melanogaster
CG10200	hui	FBgn0033968	Drosophila melanogaster
CG10205	CG10205	FBgn0033970	Drosophila melanogaster
CG10211	CG10211	FBgn0032685	Drosophila melanogaster
CG10217	CG10217	FBgn0039113	Drosophila melanogaster
CG10221	Hrd3	FBgn0028475	Drosophila melanogaster
CG10232	CG10232	FBgn0039108	Drosophila melanogaster
CG10236	LanA	FBgn0002526	Drosophila melanogaster
CG10241	Cyp6a17	FBgn0015714	Drosophila melanogaster
CG10242	Cyp6a23	FBgn0033978	Drosophila melanogaster
CG10244	Cad96Ca	FBgn0022800	Drosophila melanogaster
CG10249	Kank	FBgn0027596	Drosophila melanogaster
CG10275	kon	FBgn0032683	Drosophila melanogaster
CG10277	godzilla	FBgn0037442	Drosophila melanogaster
CG10287	Gasp	FBgn0026077	Drosophila melanogaster
CG10297	Acp65Aa	FBgn0020765	Drosophila melanogaster
CG10303	Osi4	FBgn0037412	Drosophila melanogaster
CG10334	spi	FBgn0005672	Drosophila melanogaster
CG10339	CG10339	FBgn0034972	Drosophila melanogaster
CG10342	NPF	FBgn0027109	Drosophila melanogaster
CG10357	CG10357	FBgn0035453	Drosophila melanogaster
CG10359	CG10359	FBgn0035452	Drosophila melanogaster
CG10363	Tep4	FBgn0041180	Drosophila melanogaster
CG10382	wrapper	FBgn0025878	Drosophila melanogaster
CG10388	Ubx	FBgn0003944	Drosophila melanogaster
CG10405	CG10405	FBgn0038431	Drosophila melanogaster
CG10407	CG10407	FBgn0038395	Drosophila melanogaster
CG10420	CG10420	FBgn0039296	Drosophila melanogaster
CG10433	CG10433	FBgn0034638	Drosophila melanogaster
CG10436	Obp69a	FBgn0011279	Drosophila melanogaster
CG10443	Lar	FBgn0000464	Drosophila melanogaster
CG10469	CG10469	FBgn0035678	Drosophila melanogaster
CG10472	CG10472	FBgn0035670	Drosophila melanogaster
CG10475	Jon65Ai	FBgn0035667	Drosophila melanogaster
CG10477	CG10477	FBgn0035661	Drosophila melanogaster
CG10491	vn	FBgn0003984	Drosophila melanogaster
CG10497	Sdc	FBgn0010415	Drosophila melanogaster
CG10521	NetB	FBgn0015774	Drosophila melanogaster
CG10529	Lcp65Ae	FBgn0020640	Drosophila melanogaster
CG10530	Lcp65Ag1	FBgn0020638	Drosophila melanogaster
