"BUR24" "BUR6" "BURU" "FB24" "FB6" "FBU" "OVD24" "OVD6" "OVDU" "PO24" "PO6" "POU" "SR24" "SR6" "SRU" "ST24" "ST6" "STU" "WF"
"FBgn0014931" 0.952177866239529 0.639311239155038 0.700615555664092 1.84662710988569 2.39523556677438 2.0869461808325 1.33793413417476 1.57783900229359 1.34728258088691 0.688539352404988 0.798801861567029 0.989928042618694 1.45736128544923 1.1536781129874 1.35561717803438 0.514082799976751 0.408863993616019 0.772660852775835 2.29833213084819
"FBgn0014930" 4.91686839172125 4.75286559486212 4.63574372394937 6.25797067471762 5.97002564768403 5.89961746857552 4.67385727224798 4.72820981146791 4.5749080907657 5.27016061822308 5.45994883056725 5.0381714035068 4.59702153324574 4.50627662596123 4.65739537294124 5.210764498399 5.19990573297513 5.36616384320283 4.13502079588705
"FBgn0027562" 3.28074249435447 2.99563752638066 2.45451477843482 0 0 0 0.142063130769612 0.0466316549793309 0.276158393623865 0.183680637618677 0.103230397697046 0 0.0200130969377694 0.118079144007754 0.0694970668600488 0 0.0855775137305696 0.0254119074059642 2.45934829363765
"FBgn0027563" 2.5075293234409 2.85080125405887 2.51454321873893 7.12169507628238 7.05400809846426 6.60735604141806 1.50694464247785 2.31340626305617 1.52453961654037 2.08709573940887 3.1416020982645 2.38412599945649 2.60656045043499 2.94501284806454 2.38242193870474 2.2438850700163 2.58547291867651 2.32087483367567 2.33401524735493
"FBgn0027560" 6.78496889699195 7.02492558842999 7.09949244106202 12.6153862912822 12.1915692559965 12.6704796100332 7.13032117202036 7.75443275197825 7.72924042820565 8.65890424097769 8.83350657399678 9.2029884496548 8.1477965044598 8.12067985779918 8.55602602630695 8.33992095543247 7.9511934233054 8.81517761512732 7.32846183561774
"FBgn0027561" 4.70565898869795 4.76782668376139 4.89028114830065 4.00568880529565 4.60647371192084 4.04798689445476 5.26021390798775 4.90931782337381 5.18213133976376 5.14260102679603 4.88881957338428 5.08131326526528 4.97190553086541 5.01555830844273 5.03275964801528 4.90447091126787 5.0497161435743 4.9433157112404 5.58569876475859
"FBgn0027567" 4.62804712821073 5.04597687437075 4.8470601665492 4.13463588740135 4.97942477222518 4.96045420203453 5.2717890208378 4.98330008564784 5.21180090101041 5.2717070107738 4.96799706608275 5.30515248458055 4.97260649178939 4.90031404106754 4.97205318264336 5.34061240860062 5.23318897762063 5.46728778883761 7.39045378546574
"FBgn0027564" 4.82860451166292 5.48083675336999 4.5372705457634 6.28244894629255 6.06406224751178 5.7733043789552 4.46984866391063 4.87384022075412 4.38170163573841 4.59660933017419 4.97189263045499 4.45645888121576 4.50866623080541 4.96233480884136 4.37660194640198 4.86096403328521 5.47338439078165 5.11322048212982 4.82939498151544
"FBgn0027565" 4.40313717338419 3.54344529868151 4.2715808937801 3.74280820601224 3.58563010214454 3.68417603830921 4.73251527677877 3.89633941465767 4.46728632580574 4.06655300905548 3.90861594564063 3.89668399305931 3.87025576342287 3.34545327686354 3.76175656262733 4.50899663568081 4.34775994630368 4.36326440358075 4.5134990612499
"FBgn0027568" 4.35437185148784 4.20872850690613 4.49669276249986 3.44107484081942 4.11268922034265 3.69638855373948 4.47042364830571 4.13558046949395 4.63725078769564 5.05903068843145 4.87700456055851 5.00577986544837 4.56603424342405 4.60062446899208 4.73103486992812 4.88328841820401 4.98342144862421 5.01044936793901 5.34703098141499
"FBgn0027569" 3.90137601644387 4.09872093439446 3.88462964201015 3.96049411509479 4.2992298942664 4.21357300098992 3.87979107097354 3.89863156620505 3.90950632774478 4.54879907578932 4.5603783537774 4.59945985744148 4.29108844789579 4.2975597698444 4.28010947396113 4.56131567081164 4.59366416254332 4.85548536702116 4.55933322003113
"FBgn0010438" 3.31990135520941 4.30023853952066 3.2652131456205 3.60943654419765 4.09490831919438 4.28076186794203 3.17063054386511 4.07233726600319 3.43166153512796 3.32516571191276 3.51537249341752 3.17756624383635 3.69303880442689 3.89323473222955 3.47142074110623 3.60391296053638 3.46646558600001 3.36477267910793 6.09541050217284
"FBgn0037356" 5.32409036861973 5.43187950867132 4.97821612300081 7.06197399304104 6.79102867762183 6.81655487123845 4.4984356880795 4.65333128300337 4.43002800796144 3.49982296433997 3.91247381312671 3.49641493468831 4.22540813637104 4.24894206726221 4.15880116662913 3.51302886054372 3.59776082340847 3.54576671991157 4.66585722063597
"FBgn0262057" 6.98695738064382 7.22971916934304 6.85286842195649 7.29260479636203 7.06518306620713 7.05963103789111 6.2614961004123 6.29628533187353 6.0482903064264 4.9359661353157 5.05757668639217 4.74702891208959 5.88302034373905 6.39160669036059 6.0286638094559 5.32978551397678 4.96014430247135 5.00638654719096 3.40833453957537
"FBgn0030645" 3.33557104479097 3.56973317452735 3.0880502892379 3.68768107196112 3.4654056006767 3.43306742692522 3.07662074136897 3.13888395165668 2.85074631868784 3.72022177840811 3.81661710315388 3.22597596986989 3.10533911983514 3.11739858588779 2.94992600595081 3.353532609891 3.65563666356325 3.30590698914994 3.53351996300895
"FBgn0085218" 1.01235417467743 1.52219196437981 0.743717357867158 2.88143092919383 2.01652432004669 1.84379212519657 1.41668887090338 1.59541148246357 0.992483342140356 7.56729982201552 7.66612284656751 7.44034658246509 2.79419224177024 2.61979508995668 2.78295045421291 1.60322795711147 0.995132947013074 1.11646259818862 0
"FBgn0010435" 6.6239593082057 5.99753287208112 6.3012029330134 5.60583838882208 5.02241156208041 5.41921474442253 4.26175785742139 4.13063443833538 4.29797106834843 7.68773089781033 7.13879497058959 7.4415523448847 5.15198783307644 5.19540086296287 5.42526115880958 5.95624343973931 5.62264585602233 5.57365856914199 3.89088466663357
"FBgn0259482" 5.13834519892417 4.66242030821878 5.00796366480452 4.03441969419713 3.98417364844368 5.09999821811455 5.08037961842947 4.98580323886772 4.83757300078817 4.73839237099607 4.5886514743012 4.66470700915514 4.91156942529292 4.50631133902364 4.53019345613277 5.00645058843816 5.04611023976637 4.94257661886133 3.31871595181103
"FBgn0033579" 1.80147123907859 0.763608662139101 1.68102362121495 0 0 0 0.329855977245068 0.171022716888444 0.396183713764492 0.372177567112773 0.266079689331165 0.343666139180768 0.311120598336697 0.181691869855363 0.287929187035815 0.726392322995781 0.160116337076304 0.474784301342661 0.0593216184329811
"FBgn0085212" 2.52705212360217 2.70932616625422 2.41609513924899 2.49800589615773 2.19111568051285 2.18738959020392 2.43076359260857 2.56378193174406 2.1355491825176 2.50205018471075 2.35257560894075 1.97316515907371 2.48642113780643 2.51703147892103 2.26564479175071 2.33873509683933 2.58440658229445 2.05533184781227 2.24208179939703
"FBgn0033434" 5.5385589039728 5.6033851452336 5.35337612740609 3.82754332634046 4.59719264032984 4.87926711097602 5.40921652350712 5.65082592162802 5.18668465831897 4.67949374119181 4.70055002324186 4.57168075411128 5.34490031457671 5.58948263001926 5.28898597485568 4.74179592060053 4.96931078018925 4.78443413116161 3.63015934788557
"FBgn0036117" 3.3279017903179 3.20654195086901 3.09205298898227 3.41306850332439 3.4206070562236 3.69427342036049 3.37586371277028 3.44396559769866 3.2720342835732 1.9171499324536 2.17789208500532 1.93952331209649 3.11887557939791 2.80902444339006 2.82245560669977 2.10875041842846 2.26882565758774 2.18711660973388 3.43431965408983
"FBgn0036111" 5.69666354999793 4.71737779181322 5.5900532217837 4.06192205448119 3.81711914586064 3.65652292063383 6.39996357575735 5.32896211644841 5.87893705827294 6.25938009020022 5.1745849085383 5.76756870260364 5.83510926107967 5.36623733585893 5.9245181205624 5.7877533316941 4.96507613552696 4.93595181467165 5.9179726277346
"FBgn0033439" 0.390184933411106 0.366903126638612 0.361417410673611 3.9497326722738 3.84160020176218 4.23791258354478 0.471218478639088 0.915579758319579 0.472663065704941 0.88475425872696 1.55434538773481 1.33488054642563 0.868935941721247 1.03779280998347 0.856639133501821 0.914750677089078 0.794368707202687 0.79022723319305 0.355162616442574
"FBgn0033438" 1.37265963514228 1.36940998375625 1.73334939639908 0 0.945142017371365 0.553229361076172 1.99985606362591 3.08483040632705 1.78737154667041 1.24900813643071 1.11414869046902 1.03247218286363 3.82606208965751 4.15840449123446 4.16060183107313 0.807863603694965 0.521984170616849 0.466220594960843 1.8989254954193
"FBgn0032082" 0.303328306085669 0.0925094213477342 0.186066277277921 0 0.260751199871654 0 0.620494501468953 1.24197498317718 0.586143692605843 1.25607996435703 1.54790859754986 1.06345992330186 1.01493259135573 0.975741190516904 0.889802887219598 4.69468463939872 4.88886301520172 4.0834058077082 0.534024540752073
"FBgn0040752" 4.74513899821922 4.42204063365083 4.95542927730077 0.256309042673669 0.559732466345403 0.741524607760498 7.35043935818163 6.28512729269833 6.86778378330301 6.44167010363157 5.40032676370115 5.89910489524636 5.36318129543158 5.40044524685567 5.38305894686413 6.85445135781606 6.00149770387277 5.99513538589875 4.73183701817925
"FBgn0029174" 5.69474077395646 6.24177357457839 5.43036608163711 7.13793826838647 6.82689903184607 7.23006551781787 5.22489438732785 5.78362794634543 5.24580612309192 5.2790454192183 5.58900239090122 5.33557938852464 5.65976305392724 5.67155011133307 5.41574068667853 5.66352147400041 5.3903284264973 5.53174780207693 7.87372619746665
"FBgn0040754" 5.82071135086585 5.57509199113934 5.45277015848215 5.68310093674009 5.2046875966543 5.79780387291134 5.52029870345644 5.48804246001164 4.94827790972057 5.20533414243639 5.03469940390463 4.89011660005328 5.50314428480501 5.26044569328441 5.42314943785816 4.80410313134213 4.98660449468585 4.790538926321 3.40997606124881
"FBgn0010043" 0.18317475864365 0.214051489116888 0.0645417534007619 0.696192203934648 0.0910530784348192 0.383251875029831 0.219943507851468 0.0427528962423489 0.124732439864357 3.36278778816615 2.61978411897964 2.36224304245717 0.323963078378192 0.220630036533013 0.182083273281441 2.65559524385263 1.76160095088767 1.83285748461796 0.897956356126417
"FBgn0036090" 3.05683549433358 2.50863474089226 2.98456347731747 1.30431556614689 2.30767253056275 1.52142553843775 3.4871710640418 3.25530990329605 3.29836674304663 3.40495085749374 3.3650128467377 3.29763992348768 3.95217265977568 3.65043282717853 4.03574436845746 2.9994001483002 3.09418264046759 2.89273712842319 2.0845208024094
"FBgn0038244" 4.28944236892714 4.27080812540302 4.71051127746463 3.05733777665802 4.07738913049522 4.17307863871523 4.5039793322956 4.37491709976577 4.75568398062824 4.82259635424738 4.61741227133899 4.77659469428851 4.53117075688269 4.55227336836856 4.5756837746498 5.02719989942286 4.90113936029704 5.0789698826172 6.82435742125512
"FBgn0038243" 7.21241930226528 7.86169973257305 7.08029413806593 5.40164735419464 5.04155961606864 4.93317974333476 5.12910421819082 5.90444538391968 5.1896301658789 4.41542483017495 5.48575625234922 5.48838199864333 6.62086752307506 6.43030623571459 6.24460156096027 5.18710168661951 5.11009545713681 5.43138005728605 2.54853748064932
"FBgn0029170" 3.68617336398751 3.43025722535322 3.53010056955522 0.230865250371175 0 0.0760569368767135 1.09637406908061 0.88391042574323 1.14863232398015 1.05447663645615 0.849195674409966 0.597824381337216 1.5607311371062 1.58861726194464 1.75988941395689 0.55003689659244 0.287428644233024 0.346776763958075 0.224303166007609
"FBgn0032864" 5.6747922832978 4.87947883530594 5.78687123746915 7.57725867519068 7.48572234785307 8.33630729548026 5.403198655353 5.30323439039251 5.51180224402093 4.43554879419035 5.1451154586411 5.08910490425348 6.18936093344964 6.11580647820504 6.3065762321945 4.48196130364167 4.46482671286669 4.76116634280744 5.92113817937433
"FBgn0036094" 0.806696584660648 0.696977454353361 0.963078209607446 1.24200065622064 1.30481530521189 1.40463214974717 1.53591892844293 1.4047133472114 1.49431096470288 0.715042392685664 0.469176577624727 0.613597984639088 0.948013200707119 0.946261531053558 1.24766065841933 0.340721830457976 0.241020146393776 0.318210455133057 0.219757514811506
