"chrom" "Start" "FBgn"
"X" 19961297 "FBgn0031081"
"X" 20025099 "FBgn0052826"
"X" 20051294 "FBgn0031085"
"X" 20094398 "FBgn0062565"
"X" 20133579 "FBgn0031088"
"X" 20141819 "FBgn0041626"
"X" 20110110 "FBgn0040784"
"X" 20091428 "FBgn0031086"
"X" 20000968 "FBgn0031082"
"X" 19958393 "FBgn0031080"
"X" 19910168 "FBgn0052821"
"3L" 23126025 "FBgn0053217"
"3L" 23147656 "FBgn0052350"
"3L" 23093190 "FBgn0024733"
"X" 245978 "FBgn0040372"
"X" 255674 "FBgn0000316"
"X" 279703 "FBgn0024989"
"X" 307684 "FBgn0040371"
"X" 315123 "FBgn0029521"
"X" 356509 "FBgn0004034"
"X" 370031 "FBgn0000022"
"X" 396060 "FBgn0004170"
"X" 409721 "FBgn0002561"
"X" 460747 "FBgn0000137"
"X" 476984 "FBgn0029522"
"X" 479066 "FBgn0052817"
"X" 481862 "FBgn0029524"
"X" 487878 "FBgn0023536"
"X" 494614 "FBgn0023534"
"X" 509435 "FBgn0023535"
"X" 490787 "FBgn0023537"
"X" 482777 "FBgn0029525"
"X" 476857 "FBgn0029523"
"X" 467057 "FBgn0010019"
"X" 436139 "FBgn0011822"
"X" 316576 "FBgn0052816"
"X" 283186 "FBgn0040370"
"X" 243954 "FBgn0040373"
"X" 530501 "FBgn0000108"
"X" 623468 "FBgn0025640"
"X" 625542 "FBgn0025635"
"X" 629773 "FBgn0001341"
"X" 635890 "FBgn0003575"
"X" 644761 "FBgn0025634"
"X" 647304 "FBgn0025638"
"X" 750347 "FBgn0040383"
"X" 759594 "FBgn0040382"
"X" 769945 "FBgn0027343"
"X" 793147 "FBgn0025621"
"X" 844823 "FBgn0029535"
"X" 803424 "FBgn0026874"
"X" 801669 "FBgn0025616"
"X" 797090 "FBgn0015799"
"X" 787855 "FBgn0025620"
"X" 762560 "FBgn0015288"
"X" 752011 "FBgn0029532"
"X" 749241 "FBgn0029531"
"X" 648483 "FBgn0025639"
"X" 628338 "FBgn0002579"
"X" 624757 "FBgn0026879"
"X" 620717 "FBgn0029529"
"X" 585081 "FBgn0025633"
"X" 862608 "FBgn0040892"
"X" 875732 "FBgn0040341"
"X" 894482 "FBgn0029539"
"X" 928139 "FBgn0040339"
"X" 932466 "FBgn0052815"
"X" 935232 "FBgn0040340"
"X" 941075 "FBgn0040347"
"X" 990518 "FBgn0042146"
"X" 1012035 "FBgn0029552"
"X" 1026791 "FBgn0040337"
"X" 1051525 "FBgn0040398"
"X" 1145644 "FBgn0040365"
"X" 1073041 "FBgn0040397"
"X" 1028291 "FBgn0026143"
"X" 1013984 "FBgn0040351"
"X" 1011101 "FBgn0040338"
"X" 948585 "FBgn0040350"
"X" 946662 "FBgn0040349"
"X" 942474 "FBgn0040348"
"X" 939170 "FBgn0040346"
"X" 930931 "FBgn0040342"
"X" 928798 "FBgn0040345"
"X" 846171 "FBgn0040343"
"X" 1019795 "FBgn0052814"
"X" 1170828 "FBgn0040364"
"X" 1180165 "FBgn0040362"
"X" 1181620 "FBgn0040361"
"X" 1184778 "FBgn0040360"
"X" 1191308 "FBgn0040359"
"X" 1199546 "FBgn0040358"
"X" 1203777 "FBgn0029568"
"X" 1206737 "FBgn0040357"
"X" 1209970 "FBgn0040367"
"X" 1287290 "FBgn0025642"
"X" 1322513 "FBgn0004650"
"X" 1342106 "FBgn0024362"
"X" 1346553 "FBgn0024361"
"X" 1354014 "FBgn0024364"
"X" 1369249 "FBgn0029573"
"X" 1370580 "FBgn0024987"
"X" 1375536 "FBgn0023169"
"X" 1380914 "FBgn0052813"
"X" 1393054 "FBgn0024985"
"X" 1457175 "FBgn0027794"
"X" 1455215 "FBgn0027795"
"X" 1378885 "FBgn0024986"
"X" 1356488 "FBgn0000826"
"X" 1349623 "FBgn0024365"
"X" 1344872 "FBgn0024360"
"X" 1329518 "FBgn0024366"
"X" 1289713 "FBgn0025641"
"X" 1297984 "FBgn0052811"
"X" 1242740 "FBgn0028550"
"X" 1236873 "FBgn0026876"
"X" 1211989 "FBgn0040366"
"X" 1173877 "FBgn0040363"
"X" 1158599 "FBgn0040368"
"X" 1466134 "FBgn0026872"
"X" 1467493 "FBgn0029580"
"X" 1472522 "FBgn0025383"
"X" 1478552 "FBgn0025381"
"X" 1483479 "FBgn0025394"
"X" 1665052 "FBgn0000482"
"X" 1669570 "FBgn0001189"
"X" 1681566 "FBgn0029587"
"X" 1686624 "FBgn0024897"
"X" 1735945 "FBgn0025391"
"X" 1708806 "FBgn0025378"
"X" 1693615 "FBgn0023130"
"X" 1668406 "FBgn0023530"
"X" 1523554 "FBgn0025390"
"X" 1512227 "FBgn0025393"
"X" 1481797 "FBgn0003517"
"X" 1482492 "FBgn0044508"
"X" 1473884 "FBgn0025382"
"X" 1468693 "FBgn0052808"
"X" 1464363 "FBgn0027791"
"X" 1460807 "FBgn0027793"
"X" 1789566 "FBgn0052806"
"X" 1865909 "FBgn0026873"
"X" 1868870 "FBgn0023513"
"X" 1873853 "FBgn0014411"
"X" 1877317 "FBgn0023514"
