OG_id	D_melanogaster_all	D_melanogaster_gene	D_melanogaster_protein	D_yakuba_all	D_yakuba_gene	D_yakuba_protein	ML dN	ML dS	ML omega
5	FBgn0086906	FBgn0086906	FBpp0304920	FBgn0238175	FBgn0238175	FBpp0364481	0.0463	0.2447	0.1892
8	FBgn0261836	FBgn0261836	FBpp0292449	FBgn0229160	FBgn0229160	FBpp0361789	0.0321	0.2175	0.1476
9	FBgn0005666	FBgn0005666	FBpp0290554	FBgn0232159	FBgn0232159	FBpp0357258	0.0297	0.2627	0.1131
14	FBgn0013733	FBgn0013733	FBpp0086747	FBgn0231014	FBgn0231014	FBpp0357250	0.0249	0.2639	0.0944
27	FBgn0001075	FBgn0001075	FBpp0077167	FBgn0232356	FBgn0232356	FBpp0352911	0.0104	0.3853	0.027
32	FBgn0013813	FBgn0013813	FBpp0290517	FBgn0240945	FBgn0240945	FBpp0364411	0.0116	0.2525	0.0459
34	FBgn0053087	FBgn0053087	FBpp0311204	FBgn0236543	FBgn0236543	FBpp0264194	0.0153	0.3053	0.0501
38	FBgn0261671	FBgn0261671	FBpp0309157	FBgn0230500	FBgn0230500	FBpp0353642	0.0074	0.3129	0.0236
43	FBgn0011286	FBgn0011286	FBpp0293114	FBgn0236585	FBgn0236585	FBpp0357770	0.0073	0.3135	0.0233
49	FBgn0011230	FBgn0011230	FBpp0079167	FBgn0229027	FBgn0229027	FBpp0256215	0.0184	0.2977	0.0618
52	FBgn0261797	FBgn0261797	FBpp0304991	FBgn0237893	FBgn0237893	FBpp0361489	0.0033	0.2704	0.0122
58	FBgn0037726	FBgn0037726	FBpp0310725	FBgn0241855	FBgn0241855	FBpp0352840	0.0019	0.2533	0.0075
65	FBgn0266717	FBgn0266717	FBpp0304070	FBgn0241795	FBgn0241795	FBpp0364431	0.021	0.2994	0.0701
67	FBgn0039510	FBgn0039510	FBpp0271700	FBgn0228421	FBgn0228421	FBpp0357524	0.0128	0.2919	0.0439
83	FBgn0013812	FBgn0013812	FBpp0307750	FBgn0242113;FBgn0276806	FBgn0242113	FBpp0357210	0.0009	0.1973	0.0046
84	FBgn0032136	FBgn0032136	FBpp0292877	FBgn0236240	FBgn0236240	FBpp0354928	0.0282	0.3846	0.0733
85	FBgn0035581	FBgn0035581	FBpp0288420	FBgn0238727	FBgn0238727	FBpp0355532	0.0096	0.2701	0.0355
88	FBgn0261574	FBgn0261574	FBpp0304968	FBgn0236981;FBgn0275582;FBgn0275645	FBgn0236981	FBpp0353064	0.0151	0.2704	0.0558
97	FBgn0031107	FBgn0031107	FBpp0290558	FBgn0235315	FBgn0235315	FBpp0262887	0.0127	0.2579	0.0492
100	FBgn0013810	FBgn0013810	FBpp0293284	FBgn0230519	FBgn0230519	FBpp0357549	0.0066	0.3061	0.0216
105	FBgn0053519	FBgn0053519	FBpp0112375	FBgn0229302	FBgn0229302	FBpp0362875	0.0073	0.2574	0.0284
106	FBgn0029167	FBgn0029167	FBpp0075495	FBgn0239216	FBgn0239216	FBpp0266993	0.0228	0.3703	0.0616
110	FBgn0283476	FBgn0283476	FBpp0074283	FBgn0235152	FBgn0235152	FBpp0361449	0.0148	0.3322	0.0446
113	FBgn0013811	FBgn0013811	FBpp0292225	FBgn0238206	FBgn0238206	FBpp0355705	0.0076	0.3875	0.0196
120	FBgn0052113	FBgn0052113	FBpp0271898	FBgn0239160	FBgn0239160	FBpp0353554	0.0164	0.3389	0.0484
125	FBgn0052702	FBgn0052702	FBpp0271945	FBgn0233020	FBgn0233020	FBpp0260454	0.0722	0.4612	0.1565
132	FBgn0023096	FBgn0023096	FBpp0271926	FBgn0230814	FBgn0230814	FBpp0353664	0.0131	0.2865	0.0457
135	FBgn0002526	FBgn0002526	FBpp0076722	FBgn0237809	FBgn0237809	FBpp0265504	0.0163	0.3338	0.0488
136	FBgn0284408	FBgn0284408	FBpp0309655	FBgn0234430	FBgn0234430	FBpp0357608	0.0429	0.2905	0.1477
138	FBgn0004167	FBgn0004167	FBpp0289294	FBgn0238622	FBgn0238622	FBpp0363572	0.0043	0.2827	0.0152
147	FBgn0261788	FBgn0261788	FBpp0292244	FBgn0237711	FBgn0237711	FBpp0354979	0.0189	0.2843	0.0665
149	FBgn0053554	FBgn0053554	FBpp0292385	FBgn0229075	FBgn0229075	FBpp0357415	0.0201	0.329	0.0611
153	FBgn0259140	FBgn0259140	FBpp0304441	FBgn0237499	FBgn0237499	FBpp0355121	0.1007	0.386	0.2609
156	FBgn0039727	FBgn0039727	FBpp0084871	FBgn0241051	FBgn0241051	FBpp0359678	0.0271	0.293	0.0925
172	FBgn0032817	FBgn0032817	FBpp0080856	FBgn0230361	FBgn0230361	FBpp0361745	0.0355	0.2926	0.1213
174	FBgn0050069	FBgn0050069	FBpp0086659	FBgn0231225	FBgn0231225	FBpp0363806	0.0296	0.3646	0.0812
176	FBgn0265082	FBgn0265082	FBpp0307781	FBgn0242510	FBgn0242510	FBpp0355722	0.0205	0.2518	0.0814
178	FBgn0261563	FBgn0261563	FBpp0291871	FBgn0236393	FBgn0236393	FBpp0361766	0.0156	0.3159	0.0494
184	FBgn0265045	FBgn0265045	FBpp0307635	FBgn0231740;FBgn0231738	FBgn0231740	FBpp0354618	0.2596	0.78	0.3328
185	FBgn0259108	FBgn0259108	FBpp0111540	FBgn0234184	FBgn0234184	FBpp0354571	0.0667	0.3414	0.1954
187	FBgn0266696	FBgn0266696	FBpp0311337	FBgn0237638	FBgn0237638	FBpp0359363	0.088	0.3245	0.2712
190	FBgn0265988	FBgn0265988	FBpp0293022	FBgn0238186	FBgn0238186	FBpp0265907	0.0126	0.2622	0.0481
196	FBgn0043362	FBgn0043362	FBpp0078775	FBgn0242770	FBgn0242770	FBpp0270722	0.0051	0.299	0.0171
205	FBgn0033194	FBgn0033194	FBpp0301727	FBgn0236494	FBgn0236494	FBpp0356751	0.0294	0.3034	0.0969
217	FBgn0015609	FBgn0015609	FBpp0099721	FBgn0230817	FBgn0230817	FBpp0357473	0.0075	0.237	0.0316
219	FBgn0266557	FBgn0266557	FBpp0289115	FBgn0233879	FBgn0233879	FBpp0352502	0.0225	0.2328	0.0966
220	FBgn0087002	FBgn0087002	FBpp0306689	FBgn0232163	FBgn0232163	FBpp0259575	0.0536	0.3248	0.165
222	FBgn0284247	FBgn0284247	FBpp0077708	FBgn0233519	FBgn0233519	FBpp0260973	0.0103	0.2194	0.0469
232	FBgn0016081	FBgn0016081	FBpp0297352	FBgn0067969	FBgn0067969	FBpp0353277	0.0089	0.2518	0.0353
238	FBgn0031981	FBgn0031981	FBpp0311116	FBgn0236123	FBgn0236123	FBpp0354714	0.008	0.3429	0.0233
241	FBgn0031571	FBgn0031571	FBpp0297895	FBgn0235688	FBgn0235688	FBpp0263270	0.0064	0.3229	0.0198
253	FBgn0039536	FBgn0039536	FBpp0303144	FBgn0240908	FBgn0240908	FBpp0354328	0.002	0.2662	0.0075
262	FBgn0260003	FBgn0260003	FBpp0110219	FBgn0242670;FBgn0275688	FBgn0242670	FBpp0353997	0.0233	0.2487	0.0937
264	FBgn0250754	FBgn0250754	FBpp0288574	FBgn0243340	FBgn0243340	FBpp0359987	0.1595	0.3078	0.5182
273	FBgn0034662	FBgn0034662	FBpp0291634	FBgn0231330	FBgn0231330	FBpp0258684	0.0421	0.35	0.1203
275	FBgn0264707	FBgn0264707	FBpp0306084	FBgn0238360	FBgn0238360	FBpp0362889	0.0415	0.3432	0.1209
279	FBgn0001313	FBgn0001313	FBpp0312333	FBgn0275784	FBgn0275784	FBpp0359269	0.0175	0.4124	0.0424
292	FBgn0038693	FBgn0038693	FBpp0290907	FBgn0242228	FBgn0242228	FBpp0363909	0.006	0.2736	0.0219
294	FBgn0027655	FBgn0027655	FBpp0084679	FBgn0240953	FBgn0240953	FBpp0268808	0.0236	0.1185	0.1992
