"FBgn" "ML.dN" "ML.dS" "ML.omega"
"FBgn0086906" 0.0463 0.2447 0.1892
"FBgn0261836" 0.0321 0.2175 0.1476
"FBgn0005666" 0.0297 0.2627 0.1131
"FBgn0013733" 0.0249 0.2639 0.0944
"FBgn0001075" 0.0104 0.3853 0.027
"FBgn0013813" 0.0116 0.2525 0.0459
"FBgn0053087" 0.0153 0.3053 0.0501
"FBgn0261671" 0.0074 0.3129 0.0236
"FBgn0011286" 0.0073 0.3135 0.0233
"FBgn0011230" 0.0184 0.2977 0.0618
"FBgn0261797" 0.0033 0.2704 0.0122
"FBgn0037726" 0.0019 0.2533 0.0075
"FBgn0266717" 0.021 0.2994 0.0701
"FBgn0039510" 0.0128 0.2919 0.0439
"FBgn0013812" 9e-04 0.1973 0.0046
"FBgn0032136" 0.0282 0.3846 0.0733
"FBgn0035581" 0.0096 0.2701 0.0355
"FBgn0261574" 0.0151 0.2704 0.0558
"FBgn0031107" 0.0127 0.2579 0.0492
"FBgn0013810" 0.0066 0.3061 0.0216
"FBgn0053519" 0.0073 0.2574 0.0284
"FBgn0029167" 0.0228 0.3703 0.0616
"FBgn0283476" 0.0148 0.3322 0.0446
"FBgn0013811" 0.0076 0.3875 0.0196
"FBgn0052113" 0.0164 0.3389 0.0484
"FBgn0052702" 0.0722 0.4612 0.1565
"FBgn0023096" 0.0131 0.2865 0.0457
"FBgn0002526" 0.0163 0.3338 0.0488
"FBgn0284408" 0.0429 0.2905 0.1477
"FBgn0004167" 0.0043 0.2827 0.0152
"FBgn0261788" 0.0189 0.2843 0.0665
"FBgn0053554" 0.0201 0.329 0.0611
"FBgn0259140" 0.1007 0.386 0.2609
"FBgn0039727" 0.0271 0.293 0.0925
"FBgn0032817" 0.0355 0.2926 0.1213
"FBgn0050069" 0.0296 0.3646 0.0812
"FBgn0265082" 0.0205 0.2518 0.0814
"FBgn0261563" 0.0156 0.3159 0.0494
"FBgn0265045" 0.2596 0.78 0.3328
"FBgn0259108" 0.0667 0.3414 0.1954
"FBgn0266696" 0.088 0.3245 0.2712
"FBgn0265988" 0.0126 0.2622 0.0481
"FBgn0043362" 0.0051 0.299 0.0171
"FBgn0033194" 0.0294 0.3034 0.0969
"FBgn0015609" 0.0075 0.237 0.0316
"FBgn0266557" 0.0225 0.2328 0.0966
"FBgn0087002" 0.0536 0.3248 0.165
"FBgn0284247" 0.0103 0.2194 0.0469
"FBgn0016081" 0.0089 0.2518 0.0353
"FBgn0031981" 0.008 0.3429 0.0233
"FBgn0031571" 0.0064 0.3229 0.0198
"FBgn0039536" 0.002 0.2662 0.0075
"FBgn0260003" 0.0233 0.2487 0.0937
"FBgn0250754" 0.1595 0.3078 0.5182
"FBgn0034662" 0.0421 0.35 0.1203
"FBgn0264707" 0.0415 0.3432 0.1209
"FBgn0001313" 0.0175 0.4124 0.0424
"FBgn0038693" 0.006 0.2736 0.0219
"FBgn0027655" 0.0236 0.1185 0.1992
"FBgn0045035" 0.0317 0.3194 0.0992
"FBgn0267001" 0.0081 0.2914 0.0278
"FBgn0260442" 0.0052 0.233 0.0223
"FBgn0266098" 0.0216 0.2109 0.1024
"FBgn0032208" 0.0114 0.2743 0.0416
"FBgn0023479" 0.0654 0.3287 0.199
"FBgn0266756" 0.0183 0.1984 0.0922
